Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Forest,EOE,Edge of Eternities,371,foil,common,6,106774,0d6250d3-728b-4412-8efc-911bb6f5e910,3.99,false,false,near_mint,en,EUR
Echoing Deeps,EOS,Edge of Eternities: Stellar Sights,103,foil,rare,1,107483,89f9ff89-2221-409e-b025-fa94dcbfecbc,21.0,false,false,near_mint,en,EUR
Icetill Explorer,EOE,Edge of Eternities,192,normal,rare,1,107559,d9482aab-6ddf-48e1-84fa-b13d5ff81e69,6.9,false,false,near_mint,en,EUR
Nova Hellkite,EOE,Edge of Eternities,148,normal,rare,1,107011,424af0d0-398c-4d78-9ad5-2171bf1bcbd1,0.25,false,false,near_mint,en,EUR
"Tannuk, Steadfast Second",EOE,Edge of Eternities,296,normal,mythic,1,107602,a94a4760-cf43-4f27-96e1-be9d13611d99,8.0,false,false,near_mint,en,EUR
Frenzied Baloth,EOE,Edge of Eternities,183,normal,rare,1,107158,c72d85e9-a0bc-4f73-8d73-c58843577f4e,3.0,false,false,near_mint,en,EUR
Famished Worldsire,EOE,Edge of Eternities,182,normal,mythic,1,107248,2934c9c8-d23a-462b-83d5-94e88c8663ac,2.99,false,false,near_mint,en,EUR
Exalted Sunborn,EOE,Edge of Eternities,15,normal,mythic,1,107070,7e1fe101-f634-41e5-9aa4-e8d7474535dc,12.5,false,false,near_mint,en,EUR
Astelli Reclaimer,EOE,Edge of Eternities,4,normal,rare,1,107017,4fb36405-cd28-432f-b0a4-e74ff8be928d,0.3,false,false,near_mint,en,EUR
Lumen-Class Frigate,EOE,Edge of Eternities,25,normal,rare,2,107370,0cc59b5a-65fa-47cc-8ac7-b7c3f533a782,0.05,false,false,near_mint,en,EUR
Entropic Battlecruiser,EOE,Edge of Eternities,99,normal,rare,1,107545,cc59796b-9025-44b6-a188-cf6684ebffb9,0.1,false,false,near_mint,en,EUR
Beyond the Quiet,EOE,Edge of Eternities,7,normal,rare,2,107547,ce503869-8130-4afe-9691-4e90376b4bc4,0.09,false,false,near_mint,en,EUR
Starwinder,EOE,Edge of Eternities,79,normal,rare,1,107391,27d1a010-5790-4b35-9fdc-0e366eed021d,0.15,false,false,near_mint,en,EUR
"Susur Secundi, Void Altar",EOE,Edge of Eternities,259,normal,mythic,1,107126,aefb8c0d-2bc6-4bec-851e-0137b4abfb22,4.5,false,false,near_mint,en,EUR
Secluded Starforge,EOE,Edge of Eternities,257,normal,rare,1,107514,a997ff9f-045a-44a2-983d-f36414cef1ab,0.09,false,false,near_mint,en,EUR
